,Url,Domain Age,Page Rank,Is Free,Validation Period,Has Protective Status,Has Strong Security,Caching,Compressed
0,https://wpengine.com,5343,7,True,90.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
1,https://media-rocks.com,-1,0,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",False,False
2,https://nvzhuang.tmall.com,9870,2,False,396.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
3,https://hupu.com,9053,5,False,366.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
4,https://wikidot.com,6755,5,False,367.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
5,https://2kmtcentral.com,3521,3,True,89.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,False
6,https://codeplex.com,8904,6,False,180.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
7,https://postpopular.com,5192,2,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",False,False
8,https://1001fonts.com,9080,6,True,89.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
9,https://cibc.com,11285,6,False,378.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None, None, False, False, None, None, True, True, True, False, True, None, True, None, False, True, None, True, True, True, None, True, None, False, True, None, True, False, False, None, True, True, True, None, None, None, True, None, True, True, None, True, True, True, True, None, None, True, True, True, None, None, True, None, True, True, True, True, None, True, None, False, True, None, None, True, True, True, True, True, True, True, True, True, None, True, True, True, None, True, True, None, None, True, None, None, None, None, True, True, True, None, True, True, None, None, True, None, True, True, True, None, True, False, None, True, None, None, False, None, True, True, True, True, None, None, None, None, None, True, None, False, True, True, None, False, None, True, True, False, True, None, False, True, None, True, None, True, None, True, True, True, True, True]",True,True
